id_do_respondente,preocupação_com_h1n1,conhecimento_sobre_h1n1,comportamento_medicamentos_antivirais,comportamento_evitamento,comportamento_uso_de_máscara_facial,comportamento_lavagem_das_mãos,comportamento_reuniões_grandes,comportamento_saída_de_casa,comportamento_toque_na_face,recomendação_médica_h1n1,recomendação_médica_sazonal,condição_médica_crônica,criança_menor_de_6_meses,trabalhador_de_saúde,seguro_de_saúde,opinião_sobre_a_efetividade_da_vacina_h1n1,opinião_sobre_o_risco_h1n1,opinião_sobre_a_doença_por_vacinação_h1n1,opinião_sobre_a_efetividade_da_vacina_sazonal,opinião_sobre_o_risco_sazonal,opinião_sobre_a_doença_por_vacinação_sazonal,adultos_no_agregado_familiar,crianças_no_agregado_familiar,vacina_h1n1,vacina_sazonal,seguro_de_saúde,indústria_de_emprego,ocupação
23,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,4.0,4.0,1.0,2.0,0,0,0.0,,
24,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0,0,1.0,,
25,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,3.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,0,0,,wxleyezf,emcorrxb
26,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,4.0,5.0,5.0,4.0,1.0,2.0,1,1,1.0,ldnlellj,hfxkjkmi
27,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0,0,,,
28,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0,0,1.0,,
29,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,5.0,4.0,1.0,4.0,0.0,0.0,0,0,1.0,,
30,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,2.0,1.0,2.0,4.0,2.0,1.0,0.0,2.0,0,0,,nduyfdeo,xtkaffoo
31,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,1.0,2.0,3.0,0.0,1,0,0.0,,
32,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,0,1,1.0,,
33,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,5.0,2.0,4.0,0.0,0.0,1,0,1.0,,
34,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1,1,1.0,wxleyezf,bxpfxfdn
35,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,5.0,5.0,5.0,2.0,5.0,0.0,0.0,1,1,1.0,,
36,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,1.0,4.0,2.0,1.0,2.0,0.0,0,1,1.0,pxcmvdjn,xgwztkwe
37,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0,0,,ldnlellj,ukymxvdu
38,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,1,1,1.0,,
39,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,5.0,4.0,2.0,5.0,4.0,2.0,0.0,0.0,0,1,,pxcmvdjn,xgwztkwe
40,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,5.0,2.0,1.0,0.0,0.0,0,0,1.0,xicduogh,qxajmpny
41,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,0.0,1,1,1.0,fcxhlnwr,cmhcxjea
42,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,1.0,4.0,3.0,1.0,5.0,1.0,0.0,0,0,,saaquncn,vlluhbov
43,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,4.0,1.0,4.0,4.0,0.0,1.0,1,1,1.0,,
44,,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0,0,,vjjrobsf,xtkaffoo
45,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,2.0,4.0,4.0,5.0,2.0,1.0,0,0,,vjjrobsf,mxkfnird
46,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,5.0,1.0,1.0,1.0,0.0,1,1,1.0,,
47,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,2.0,5.0,1.0,2.0,1.0,0.0,1,0,1.0,vjjrobsf,xtkaffoo
48,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.0,4.0,1.0,5.0,5.0,1.0,1.0,0.0,1,1,,wxleyezf,emcorrxb
49,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,5.0,4.0,1.0,1.0,3.0,1,1,1.0,,
50,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,4.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,0,0,,fcxhlnwr,haliazsg
51,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,5.0,4.0,1.0,0.0,0.0,0,1,1.0,wxleyezf,emcorrxb
52,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.0,2.0,4.0,4.0,2.0,2.0,1.0,0.0,0,0,,arjwrbjb,dlvbwzss
53,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,3.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,0,1,,,
54,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,3.0,4.0,2.0,4.0,4.0,4.0,0.0,1.0,0,0,,,
55,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0,0,0,1.0,xicduogh,qxajmpny
56,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,2.0,5.0,5.0,2.0,0.0,0.0,0,1,1.0,atmlpfrs,xqwwgdyp
57,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,2.0,4.0,4.0,4.0,1.0,1.0,0.0,1,1,1.0,xicduogh,qxajmpny
58,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,0,0,1.0,wxleyezf,emcorrxb
59,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,4.0,1.0,4.0,1.0,2.0,0,1,1.0,,
60,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,5.0,4.0,4.0,1.0,0.0,0.0,1,1,1.0,arjwrbjb,hfxkjkmi
61,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,3.0,4.0,5.0,3.0,5.0,5.0,1.0,2.0,0,1,,msuufmds,xtkaffoo
62,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,5.0,1.0,2.0,2.0,0.0,0,0,0.0,,
63,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,1.0,0,1,1.0,,
64,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,3.0,3.0,2.0,3.0,,,1.0,2.0,0,0,,,
65,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,3.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0,0,,arjwrbjb,bxpfxfdn
66,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,4.0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,0,0,,,
67,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,4.0,2.0,2.0,4.0,4.0,2.0,0.0,1.0,1,1,,fcxhlnwr,bxpfxfdn
68,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,4.0,4.0,4.0,1.0,0.0,0,1,1.0,,
69,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0,0,1.0,,
70,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,5.0,5.0,2.0,5.0,2.0,1.0,0,0,0.0,xqicxuve,mxkfnird
71,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,5.0,4.0,4.0,5.0,4.0,1.0,0.0,0.0,0,1,,,
72,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,0,1,1.0,,
73,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.0,2.0,4.0,5.0,5.0,1.0,0.0,0.0,0,1,,,
74,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,0.0,1,1,0.0,,
75,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,5.0,4.0,4.0,5.0,4.0,4.0,1.0,2.0,1,1,,,
76,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,,4.0,2.0,2.0,5.0,4.0,2.0,1.0,0.0,0,0,,ldnlellj,xzmlyyjv
77,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0,4.0,1.0,2.0,0,1,1.0,fcxhlnwr,oijqvulv
78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,5.0,2.0,1.0,0.0,0.0,0,1,1.0,,
79,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.0,4.0,2.0,5.0,5.0,1.0,1.0,0.0,0,1,,xicduogh,xtkaffoo
80,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,4.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0,0,,xqicxuve,rcertsgn
81,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,5.0,2.0,1.0,1.0,0.0,0,1,1.0,fcxhlnwr,oijqvulv
82,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,4.0,5.0,4.0,4.0,1.0,1.0,1,1,1.0,pxcmvdjn,cmhcxjea
83,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,0,1,1.0,arjwrbjb,mxkfnird
84,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,5.0,4.0,1.0,5.0,4.0,1.0,1.0,0.0,0,1,,,
85,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,5.0,4.0,4.0,1.0,0.0,1,1,1.0,fcxhlnwr,hfxkjkmi
86,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,0,0,1.0,,
87,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,3.0,4.0,2.0,4.0,4.0,5.0,1.0,1.0,0,0,,,
88,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,0.0,0.0,0,1,1.0,,
89,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,4.0,4.0,2.0,4.0,1.0,0.0,0,0,1.0,wxleyezf,emcorrxb
90,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,0.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,0.0,0.0,0,1,1.0,fcxhlnwr,vlluhbov
91,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,4.0,2.0,5.0,4.0,1.0,1.0,2.0,0,1,1.0,,
92,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0,0,1.0,xicduogh,qxajmpny
93,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.0,4.0,4.0,5.0,4.0,2.0,1.0,2.0,0,1,,,
94,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,,5.0,5.0,5.0,5.0,5.0,1.0,1.0,3.0,0,0,,,
95,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0,4.0,5.0,2.0,4.0,2.0,0.0,0,0,1.0,,
96,,1.0,0.0,1.0,0.0,1.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,4.0,4.0,5.0,5.0,2.0,0.0,0.0,0,1,1.0,,
97,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,1.0,0.0,0.0,,5.0,2.0,1.0,5.0,4.0,1.0,1.0,0.0,0,1,,,
98,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,4.0,2.0,5.0,2.0,2.0,5.0,3.0,3.0,0,0,,,
99,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,3.0,4.0,2.0,5.0,1.0,2.0,1.0,0.0,0,1,,,
100,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,4.0,3.0,2.0,2.0,3.0,4.0,1.0,0.0,0,0,,pxcmvdjn,mxkfnird
101,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,5.0,1.0,1.0,0.0,0,1,1.0,wlfvacwt,tfqavkke
102,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,1.0,0.0,0.0,,3.0,5.0,1.0,5.0,2.0,4.0,1.0,0.0,0,1,,,
103,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,0,0,1.0,,
104,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0,0.0,0.0,0,0,1.0,,
105,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,5.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,0,0,,,
106,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,0.0,0,0,0.0,,
107,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,4.0,1.0,5.0,4.0,1.0,1.0,2.0,1,1,,wxleyezf,emcorrxb
108,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0,0,1.0,ldnlellj,kldqjyjy
109,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,3.0,3.0,0,0,1.0,,
110,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,4.0,4.0,5.0,4.0,4.0,1.0,0.0,1,1,1.0,,
111,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,3.0,2.0,4.0,4.0,2.0,4.0,1.0,0.0,0,0,,xicduogh,qxajmpny
112,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,0.0,1,1,1.0,arjwrbjb,hfxkjkmi
113,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,3.0,2.0,2.0,5.0,4.0,1.0,2.0,0.0,0,0,,xicduogh,qxajmpny
114,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,4.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,0,1,,fcxhlnwr,cmhcxjea
115,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,0.0,0.0,0,0,1.0,,
116,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,5.0,2.0,2.0,1.0,0.0,1,1,1.0,phxvnwax,mxkfnird
117,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,5.0,2.0,2.0,1.0,0.0,0,0,1.0,,
118,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,2.0,1.0,0.0,0,1,1.0,fcxhlnwr,cmhcxjea
119,3.0,2.0,1.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,3.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0,1,,ldnlellj,hodpvpew
120,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,1.0,1.0,4.0,2.0,1.0,1.0,0.0,0,0,,,
121,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,4.0,2.0,2.0,0.0,0.0,1,0,1.0,rucpziij,mxkfnird
